id,move_id,account_id,partner_id,date,name,debit,credit,balance,currency_id,analytic_distribution,reconciled
943,"[330, 'PBNK1/2026/00035 (GASTO PRUEBA)']","[9834, '6001.19 GASTOS DE EXPORTACION']",False,2026-07-02,Alducin Santiago Rodrigo: GASTO PRUEBA,892.85,0.0,892.85,"[33, 'MXN']",False,False
944,"[330, 'PBNK1/2026/00035 (GASTO PRUEBA)']","[106, '216.10.20 Impuestos retenidos de iva efectivamente pagados']",False,2026-07-02,4% WH,0.0,35.71,-35.71,"[33, 'MXN']",False,False
945,"[330, 'PBNK1/2026/00035 (GASTO PRUEBA)']","[67, '118.01.01 IVA ACREDITABLE NACIONAL']",False,2026-07-02,16%,142.86,0.0,142.86,"[33, 'MXN']",False,False
946,"[330, 'PBNK1/2026/00035 (GASTO PRUEBA)']","[135, '102.01.01 BBVA CTA.7934 MX']",False,2026-07-02,Alducin Santiago Rodrigo: GASTO PRUEBA,0.0,1000.0,-1000.0,"[33, 'MXN']",False,False
928,"[325, 'INV/2026/00040']","[112, '401.01.01 VENTAS TRANSFORMACION']","[46, 'Carlos Solana']",2026-07-02,[1 GTS EXP] Gts. exportación TMM1-FLETE PM,0.0,1.0,-1.0,"[33, 'MXN']",False,False
929,"[325, 'INV/2026/00040']","[89, '209.01.01 IVA POR COBRAR']","[46, 'Carlos Solana']",2026-07-02,16%,0.0,0.16,-0.16,"[33, 'MXN']",False,False
930,"[325, 'INV/2026/00040']","[51, '105.01.01 XDIFICA, SA DE CV']","[46, 'Carlos Solana']",2026-07-02,INV/2026/00040,1.16,0.0,1.16,"[33, 'MXN']",False,False
964,"[323, 'COSTO DE MEXICO1']","[3703, '102.02.05 BANREGIO CTA.1730 USD']",False,2026-07-02,False,17469.3,0.0,17469.3,"[1, 'USD']",False,False
965,"[323, 'COSTO DE MEXICO1']","[3700, '102.02.02 BBVA CTA.7713 USD']",False,2026-07-02,False,0.0,17469.3,-17469.3,"[1, 'USD']",False,False
947,"[331, 'CBMX/2026/07/0004 (Reversión de: CBMX/2026/07/0001)']","[134, '899.01.99 Base Imponible de Impuestos en Base a Flujo de Efectivo']","[60, 'Cristhian Daniel Vasquez Gutierrez']",2026-07-02,FACTU/2026/06/0007 - PBNK1/2026/00033,15410.97,0.0,15410.97,"[33, 'MXN']","{'2': 50.0, '6': 50.0}",False
948,"[331, 'CBMX/2026/07/0004 (Reversión de: CBMX/2026/07/0001)']","[134, '899.01.99 Base Imponible de Impuestos en Base a Flujo de Efectivo']","[60, 'Cristhian Daniel Vasquez Gutierrez']",2026-07-02,FACTU/2026/06/0007 - PBNK1/2026/00033,0.0,15410.97,-15410.97,"[33, 'MXN']","{'2': 50.0, '6': 50.0}",False
949,"[331, 'CBMX/2026/07/0004 (Reversión de: CBMX/2026/07/0001)']","[71, '119.01.01 IVA POR ACREDITAR']","[60, 'Cristhian Daniel Vasquez Gutierrez']",2026-07-02,16%,2465.75,0.0,2465.75,"[33, 'MXN']",False,True
950,"[331, 'CBMX/2026/07/0004 (Reversión de: CBMX/2026/07/0001)']","[67, '118.01.01 IVA ACREDITABLE NACIONAL']","[60, 'Cristhian Daniel Vasquez Gutierrez']",2026-07-02,16%,0.0,2465.75,-2465.75,"[33, 'MXN']",False,False
919,"[319, 'CBMX/2026/07/0003 (Reversión de: CBMX/2026/07/0002)']","[134, '899.01.99 Base Imponible de Impuestos en Base a Flujo de Efectivo']","[982, 'ARCA WORLD WIDE INC.']",2026-07-02,ANT/2026/00002 - PBNK7/2026/00001,0.0,25000.0,-25000.0,"[1, 'USD']",False,False
920,"[319, 'CBMX/2026/07/0003 (Reversión de: CBMX/2026/07/0002)']","[134, '899.01.99 Base Imponible de Impuestos en Base a Flujo de Efectivo']","[982, 'ARCA WORLD WIDE INC.']",2026-07-02,ANT/2026/00002 - PBNK7/2026/00001,25000.0,0.0,25000.0,"[1, 'USD']",False,False
921,"[320, 'CAMBI/2026/07/0002 (Reversión de: CAMBI/2026/07/0001)']","[3801, '105.02.12 ARCA WORLD WIDE INC.']","[982, 'ARCA WORLD WIDE INC.']",2026-07-02,Diferencia en tasa de cambio de moneda,412632.5,0.0,412632.5,"[1, 'USD']",False,True
922,"[320, 'CAMBI/2026/07/0002 (Reversión de: CAMBI/2026/07/0001)']","[131, '701.01.01 Pérdida cambiaria']","[982, 'ARCA WORLD WIDE INC.']",2026-07-02,Diferencia en tasa de cambio de moneda,0.0,412632.5,-412632.5,"[1, 'USD']",False,False
926,"[324, 'ANT/2026/00003']","[4036, '206.02.10 ARCA WORLD WIDE INC.']","[982, 'ARCA WORLD WIDE INC.']",2026-07-02,ANTICIPO DEL BIEN O SERVICIO,0.0,25000.0,-25000.0,"[1, 'USD']",False,False
927,"[324, 'ANT/2026/00003']","[3801, '105.02.12 ARCA WORLD WIDE INC.']","[982, 'ARCA WORLD WIDE INC.']",2026-07-02,ANT/2026/00003,25000.0,0.0,25000.0,"[1, 'USD']",False,False
905,"[308, 'Borrador de asiento']","[4115, '504.01.03 MTTO MAQ. PREVENTIVO']","[5919, 'Don Procoro Filtros Y Refacciones, Sa De Cv']",2026-07-01,False,0.0,0.0,0.0,"[33, 'MXN']",{'2': 100.0},False
956,"[334, 'PBNK1/2026/00037 (GASTO DE MTTO)']","[9772, '5001.21.02 MANTENIMIENTO CORRECTIVO']","[99, 'Brenda Jaqueline Blanco Vasquez']",2026-07-01,Vasquez Gutierrez Cristhian Daniel: GASTO DE MTTO,5063.29,0.0,5063.29,"[1, 'USD']","{'2': 50.0, '6': 50.0}",False
957,"[334, 'PBNK1/2026/00037 (GASTO DE MTTO)']","[104, '216.04.01 RETENCIONES ISR POR HONORARIOS']","[99, 'Brenda Jaqueline Blanco Vasquez']",2026-07-01,1.25% WH,0.0,63.29,-63.29,"[1, 'USD']",False,False
958,"[334, 'PBNK1/2026/00037 (GASTO DE MTTO)']","[135, '102.01.01 BBVA CTA.7934 MX']","[99, 'Brenda Jaqueline Blanco Vasquez']",2026-07-01,Vasquez Gutierrez Cristhian Daniel: GASTO DE MTTO,0.0,5000.0,-5000.0,"[1, 'USD']",False,False
953,"[333, 'PBNK1/2026/00036 (GASTO DE MTTO)']","[9772, '5001.21.02 MANTENIMIENTO CORRECTIVO']","[99, 'Brenda Jaqueline Blanco Vasquez']",2026-07-01,Vasquez Gutierrez Cristhian Daniel: GASTO DE MTTO,18103.01,0.0,18103.01,"[33, 'MXN']","{'2': 50.0, '6': 50.0}",False
954,"[333, 'PBNK1/2026/00036 (GASTO DE MTTO)']","[104, '216.04.01 RETENCIONES ISR POR HONORARIOS']","[99, 'Brenda Jaqueline Blanco Vasquez']",2026-07-01,1.25% WH,0.0,226.29,-226.29,"[33, 'MXN']",False,False
955,"[333, 'PBNK1/2026/00036 (GASTO DE MTTO)']","[135, '102.01.01 BBVA CTA.7934 MX']","[99, 'Brenda Jaqueline Blanco Vasquez']",2026-07-01,Vasquez Gutierrez Cristhian Daniel: GASTO DE MTTO,0.0,17876.72,-17876.72,"[33, 'MXN']",False,False
901,"[305, 'PBNK1/2026/00034 (Gasto de mantenimiento)']","[135, '102.01.01 BBVA CTA.7934 MX']","[60, 'Cristhian Daniel Vasquez Gutierrez']",2026-07-01,Manual Payment: Gasto de mantenimiento,0.0,25000.0,-25000.0,"[33, 'MXN']",False,False
902,"[305, 'PBNK1/2026/00034 (Gasto de mantenimiento)']","[80, '201.01.01 REFACCIONARIA INDUSTRIAL LAMUÑO HNOS. SA DE CV']","[60, 'Cristhian Daniel Vasquez Gutierrez']",2026-07-01,Manual Payment: Gasto de mantenimiento,25000.0,0.0,25000.0,"[33, 'MXN']",False,True
